vsnr;histnr;von;bis;name;wert
20230104123029767;1;20210101;20211231;jahr;2020
20230104123029767;1;20210101;20211231;tkz;20200101709
20230104123029767;1;20210101;20211231;status;offen
20230104123029767;1;20210101;20211231;sra;N
20230104123029767;1;20210101;20211231;beginn;20200701
20230104123029767;1;20210101;20211231;anzahl;3415.01328667429
20230104123029767;1;20210101;20211231;laufzeit;10
20230104123029767;1;20210101;20211231;ende;20300631
20230104123029767;1;20210101;20211231;vertriebsnummer;007
20230104123029767;1;20210101;20211231;zw;12
20230104123029767;1;20210101;20211231;beitragsniveau;1.0
20230104123029767;1;20210101;20211231;provisionsniveau;1.0
20230104123029767;1;20210101;20211231;vsnr;20230104123029767
20230104123029767;1;20210101;20211231;histnr;1
20230104123029767;1;20210101;20211231;von;20200701
20230104123029767;1;20210101;20211231;bis;20300631
20230104123029767;1;20210101;20211231;gevo;Neuzugang
20230104123029767;1;20210101;20211231;bruttojahresbeitrag;2049007.972004574
20230104123029767;1;20210101;20211231;bruttozahljahresbeitrag;2049007.972004574
20230104123029767;1;20210101;20211231;beitragsrabatt;0.0
20230104123029767;1;20210101;20211231;versicherungssumme;40980159.44009148
20230104123029767;1;20210101;20211231;beitragssumme;20490079.72004574
20230104123029767;1;20210101;20211231;bil_derue1_anfang;0
20230104123029767;1;20210101;20211231;bil_derue2_anfang;0
20230104123029767;1;20210101;20211231;bil_derue3_anfang;0
20230104123029767;1;20210101;20211231;bil_derue5_anfang;0
20230104123029767;1;20210101;20211231;bil_derue7_anfang;0
20230104123029767;1;20210101;20211231;bil_bio_nachreservierung_anfang;0
20230104123029767;1;20210101;20211231;bil_zzr_nachreservierung_anfang;0
20230104123029767;1;20210101;20211231;bil_unisex_nachreservierung_anfang;0
20230104123029767;1;20210101;20211231;avbg; BG113
20230104123029767;1;20210101;20211231;rz; 0.009
20230104123029767;1;20210101;20211231;bil_gebuchter_beitrag;2049007.972004574
20230104123029767;1;20210101;20211231;bil_verdienter_beitrag_nw216;2049007.972004574
20230104123029767;1;20210101;20211231;bil_risikobeitrag_nw216;26637.103636059463
20230104123029767;1;20210101;20211231;bil_sparbeitrag_nw216;1639206.3776036594
20230104123029767;1;20210101;20211231;bil_vkbeitrag_nw216;143430.5580403202
20230104123029767;1;20210101;20211231;bil_rz_nw217;14752.857398432934
20230104123029767;1;20210101;20211231;bil_derue1_ende;1653959.2350020923
20230104123029767;1;20210101;20211231;bil_rueckkaufswert;1323167.3880016739
20230104123029767;1;20210101;20211231;bil_derue2_ende;1653959.2350020923
20230104123029767;1;20210101;20211231;bil_bio_nachreservierung_ende;165395.92350020923
20230104123029767;1;20210101;20211231;bil_derue3_ende;1819355.1585023017
20230104123029767;1;20210101;20211231;bil_zzr_nachreservierung_ende;496187.7705006277
20230104123029767;1;20210101;20211231;bil_derue5_ende;2315542.9290029295
20230104123029767;1;20210101;20211231;bil_unisex_nachreservierung_ende;0.0
20230104123029767;1;20210101;20211231;bil_derue7_ende;2315542.9290029295
20230104123029317;1;20210101;20211231;antragsnummer;20230104123029276
20230104123029317;1;20210101;20211231;jahr;2020
20230104123029317;1;20210101;20211231;tkz;20200101767
20230104123029317;1;20210101;20211231;status;offen
20230104123029317;1;20210101;20211231;sra;N
20230104123029317;1;20210101;20211231;beginn;20200701
20230104123029317;1;20210101;20211231;anzahl;895.6385376775393
20230104123029317;1;20210101;20211231;laufzeit;5
20230104123029317;1;20210101;20211231;ende;20250631
20230104123029317;1;20210101;20211231;vertriebsnummer;007
20230104123029317;1;20210101;20211231;zw;12
20230104123029317;1;20210101;20211231;beitragsniveau;1.0
20230104123029317;1;20210101;20211231;provisionsniveau;1.0
20230104123029317;1;20210101;20211231;vsnr;20230104123029317
20230104123029317;1;20210101;20211231;histnr;1
20230104123029317;1;20210101;20211231;von;20200701
20230104123029317;1;20210101;20211231;bis;20250631
20230104123029317;1;20210101;20211231;gevo;Neuzugang
20230104123029317;1;20210101;20211231;bruttojahresbeitrag;1074766.2452130471
20230104123029317;1;20210101;20211231;bruttozahljahresbeitrag;1074766.2452130471
20230104123029317;1;20210101;20211231;beitragsrabatt;0.0
20230104123029317;1;20210101;20211231;versicherungssumme;21495324.90426094
20230104123029317;1;20210101;20211231;beitragssumme;5373831.226065235
20230104123029317;1;20210101;20211231;bil_derue1_anfang;0
20230104123029317;1;20210101;20211231;bil_derue2_anfang;0
20230104123029317;1;20210101;20211231;bil_derue3_anfang;0
20230104123029317;1;20210101;20211231;bil_derue5_anfang;0
20230104123029317;1;20210101;20211231;bil_derue7_anfang;0
20230104123029317;1;20210101;20211231;bil_bio_nachreservierung_anfang;0
20230104123029317;1;20210101;20211231;bil_zzr_nachreservierung_anfang;0
20230104123029317;1;20210101;20211231;bil_unisex_nachreservierung_anfang;0
20230104123029317;1;20210101;20211231;avbg; AV10
20230104123029317;1;20210101;20211231;rz; 0.009
20230104123029317;1;20210101;20211231;bil_gebuchter_beitrag;1074766.2452130471
20230104123029317;1;20210101;20211231;bil_verdienter_beitrag_nw216;1074766.2452130471
20230104123029317;1;20210101;20211231;bil_risikobeitrag_nw216;13971.961187769612
20230104123029317;1;20210101;20211231;bil_sparbeitrag_nw216;859812.9961704378
20230104123029317;1;20210101;20211231;bil_vkbeitrag_nw216;75233.6371649133
20230104123029317;1;20210101;20211231;bil_rz_nw217;7738.31696553394
20230104123029317;1;20210101;20211231;bil_derue1_ende;867551.3131359717
20230104123029317;1;20210101;20211231;bil_rueckkaufswert;694041.0505087774
20230104123029317;1;20210101;20211231;bil_derue2_ende;867551.3131359717
20230104123029317;1;20210101;20211231;bil_bio_nachreservierung_ende;86755.13131359717
20230104123029317;1;20210101;20211231;bil_derue3_ende;954306.4444495689
20230104123029317;1;20210101;20211231;bil_zzr_nachreservierung_ende;260265.3939407915
20230104123029317;1;20210101;20211231;bil_derue5_ende;1214571.8383903604
20230104123029317;1;20210101;20211231;bil_unisex_nachreservierung_ende;0.0
20230104123029317;1;20210101;20211231;bil_derue7_ende;1214571.8383903604
20230104123142941;1;20210701;20211231;antragsnummer;20230104123142981
20230104123142941;1;20210701;20211231;jahr;2021
20230104123142941;1;20210701;20211231;tkz;20200101767
20230104123142941;1;20210701;20211231;status;offen
20230104123142941;1;20210701;20211231;sra;N
20230104123142941;1;20210701;20211231;beginn;20210701
20230104123142941;1;20210701;20211231;anzahl;699.9473267493341
20230104123142941;1;20210701;20211231;laufzeit;5
20230104123142941;1;20210701;20211231;ende;20260631
20230104123142941;1;20210701;20211231;vertriebsnummer;007
20230104123142941;1;20210701;20211231;zw;12
20230104123142941;1;20210701;20211231;beitragsniveau;1.0
20230104123142941;1;20210701;20211231;provisionsniveau;1.0
20230104123142941;1;20210701;20211231;vsnr;20230104123142941
20230104123142941;1;20210701;20211231;histnr;1
20230104123142941;1;20210701;20211231;von;20210701
20230104123142941;1;20210701;20211231;bis;20260631
20230104123142941;1;20210701;20211231;gevo;Neuzugang
20230104123142941;1;20210701;20211231;bruttojahresbeitrag;839936.792099201
20230104123142941;1;20210701;20211231;bruttozahljahresbeitrag;839936.792099201
20230104123142941;1;20210701;20211231;beitragsrabatt;0.0
20230104123142941;1;20210701;20211231;versicherungssumme;16798735.84198402
20230104123142941;1;20210701;20211231;beitragssumme;4199683.960496005
20230104123142941;1;20210701;20211231;avbg; AV10
20230104123142941;1;20210701;20211231;rz; 0.009
20230104123142941;1;20210701;20211231;bil_gebuchter_beitrag;419968.3960496005
20230104123142941;1;20210701;20211231;bil_verdienter_beitrag_nw216;419968.3960496005
20230104123142941;1;20210701;20211231;bil_risikobeitrag_nw216;5459.589148644806
20230104123142941;1;20210701;20211231;bil_sparbeitrag_nw216;335974.71683968045
20230104123142941;1;20210701;20211231;bil_vkbeitrag_nw216;29397.787723472036
20230104123142941;1;20210701;20211231;bil_rz_nw217;3023.772451557124
20230104123142941;1;20210701;20211231;bil_derue1_ende;338998.48929123755
20230104123142941;1;20210701;20211231;bil_rueckkaufswert;271198.79143299005
20230104123142941;1;20210701;20211231;bil_derue2_ende;338998.48929123755
20230104123142941;1;20210701;20211231;bil_bio_nachreservierung_ende;33899.84892912376
20230104123142941;1;20210701;20211231;bil_derue3_ende;372898.33822036133
20230104123142941;1;20210701;20211231;bil_zzr_nachreservierung_ende;101699.54678737126
20230104123142941;1;20210701;20211231;bil_derue5_ende;474597.8850077326
20230104123142941;1;20210701;20211231;bil_unisex_nachreservierung_ende;0.0
20230104123142941;1;20210701;20211231;bil_derue7_ende;474597.8850077326
20230104123142546;1;20210701;20211231;antragsnummer;20230104123142130
20230104123142546;1;20210701;20211231;jahr;2021
20230104123142546;1;20210701;20211231;tkz;20200101709
20230104123142546;1;20210701;20211231;status;offen
20230104123142546;1;20210701;20211231;sra;N
20230104123142546;1;20210701;20211231;beginn;20210701
20230104123142546;1;20210701;20211231;anzahl;4821.760941326297
20230104123142546;1;20210701;20211231;laufzeit;10
20230104123142546;1;20210701;20211231;ende;20310631
20230104123142546;1;20210701;20211231;vertriebsnummer;007
20230104123142546;1;20210701;20211231;zw;12
20230104123142546;1;20210701;20211231;beitragsniveau;1.0
20230104123142546;1;20210701;20211231;provisionsniveau;1.0
20230104123142546;1;20210701;20211231;vsnr;20230104123142546
20230104123142546;1;20210701;20211231;histnr;1
20230104123142546;1;20210701;20211231;von;20210701
20230104123142546;1;20210701;20211231;bis;20310631
20230104123142546;1;20210701;20211231;gevo;Neuzugang
20230104123142546;1;20210701;20211231;bruttojahresbeitrag;2893056.564795778
20230104123142546;1;20210701;20211231;bruttozahljahresbeitrag;2893056.564795778
20230104123142546;1;20210701;20211231;beitragsrabatt;0.0
20230104123142546;1;20210701;20211231;versicherungssumme;57861131.29591556
20230104123142546;1;20210701;20211231;beitragssumme;28930565.64795778
20230104123142546;1;20210701;20211231;avbg; BG113
20230104123142546;1;20210701;20211231;rz; 0.009
20230104123142546;1;20210701;20211231;bil_gebuchter_beitrag;1446528.282397889
20230104123142546;1;20210701;20211231;bil_verdienter_beitrag_nw216;1446528.282397889
20230104123142546;1;20210701;20211231;bil_risikobeitrag_nw216;18804.867671172557
20230104123142546;1;20210701;20211231;bil_sparbeitrag_nw216;1157222.6259183113
20230104123142546;1;20210701;20211231;bil_vkbeitrag_nw216;101256.97976785224
20230104123142546;1;20210701;20211231;bil_rz_nw217;10415.003633264801
20230104123142546;1;20210701;20211231;bil_derue1_ende;1167637.629551576
20230104123142546;1;20210701;20211231;bil_rueckkaufswert;934110.1036412609
20230104123142546;1;20210701;20211231;bil_derue2_ende;1167637.629551576
20230104123142546;1;20210701;20211231;bil_bio_nachreservierung_ende;116763.76295515761
20230104123142546;1;20210701;20211231;bil_derue3_ende;1284401.3925067335
20230104123142546;1;20210701;20211231;bil_zzr_nachreservierung_ende;350291.2888654728
20230104123142546;1;20210701;20211231;bil_derue5_ende;1634692.6813722062
20230104123142546;1;20210701;20211231;bil_unisex_nachreservierung_ende;0.0
20230104123142546;1;20210701;20211231;bil_derue7_ende;1634692.6813722062
